dataset,variable,total_obs,missing_obs,missing_rate_pct
panel_country_year,iso3,144,0,0.0
panel_country_year,country,144,0,0.0
panel_country_year,year,144,0,0.0
panel_country_year,export_usd,144,0,0.0
panel_country_year,lsci,144,0,0.0
panel_country_year,gdp_usd,144,0,0.0
panel_country_year,population,144,0,0.0
panel_country_year,fdi_gdp,144,3,2.08
panel_country_year,reer,144,96,66.67
panel_country_year,official_fx,144,6,4.17
panel_country_year,clmv,144,0,0.0
panel_country_year,asean6,144,0,0.0
panel_country_year,covid,144,0,0.0
panel_country_year,ln_export,144,0,0.0
panel_country_year,ln_lsci,144,0,0.0
panel_country_year,ln_gdp,144,0,0.0
panel_country_year,ln_population,144,0,0.0
panel_country_year,ln_lsci_lag1,144,9,6.25
panel_country_year,data_complete,144,0,0.0
panel_country_year,export_usd_agri,144,0,0.0
panel_country_year,export_usd_fuels,144,0,0.0
panel_country_year,export_usd_mfg,144,0,0.0
panel_country_year,export_usd_non_agri,144,0,0.0
panel_country_year,ln_export_agri,144,0,0.0
panel_country_year,ln_export_fuels,144,0,0.0
panel_country_year,ln_export_mfg,144,0,0.0
panel_country_year,ln_export_non_agri,144,0,0.0
panel_country_year,lsci_lag1,144,9,6.25
panel_country_year,fx_growth,144,15,10.42
panel_country_year,lsci_quarters,144,0,0.0
panel_country_year,lsci_partial_year,144,0,0.0
panel_bilateral_year,exporter_iso3,3240,0,0.0
panel_bilateral_year,importer_iso3,3240,0,0.0
panel_bilateral_year,year,3240,0,0.0
panel_bilateral_year,trade_usd,3240,24,0.74
panel_bilateral_year,trade_usd_raw,3240,168,5.19
panel_bilateral_year,trade_observed,3240,0,0.0
panel_bilateral_year,zero_trade_confirmed,3240,0,0.0
panel_bilateral_year,reporter_year_complete,3240,0,0.0
panel_bilateral_year,missing_reason,3240,3216,99.26
panel_bilateral_year,lsbci,3240,135,4.17
panel_bilateral_year,product_group,3240,0,0.0
panel_bilateral_year,pair_id,3240,0,0.0
panel_bilateral_year,exporter_year,3240,0,0.0
panel_bilateral_year,importer_year,3240,0,0.0
panel_bilateral_year,ln_lsbci,3240,135,4.17
panel_bilateral_year,source_flag,3240,0,0.0
panel_bilateral_year,exporter_lsci,3240,0,0.0
panel_bilateral_year,ln_exporter_lsci,3240,0,0.0
